<Date>,<Time>,<Open>,<High>,<Low>,<Close>,<Volume>
2023/07/01,10:53:00,30428.00000000,30428.00000000,30426.00000000,30427.11000000,10.88892000
2023/07/01,10:54:00,30427.11000000,30427.12000000,30425.52000000,30425.53000000,13.63084000
2023/07/01,10:55:00,30425.53000000,30432.02000000,30425.10000000,30425.10000000,10.31940000
2023/07/01,10:56:00,30425.10000000,30425.11000000,30414.38000000,30416.56000000,37.50693000
2023/07/01,10:57:00,30416.57000000,30416.57000000,30414.00000000,30415.99000000,11.88048000
2023/07/01,10:58:00,30415.99000000,30416.00000000,30411.99000000,30414.99000000,12.47166000
2023/07/01,10:59:00,30414.98000000,30426.00000000,30414.98000000,30420.85000000,87.65049000
2023/07/01,11:00:00,30420.84000000,30425.99000000,30418.50000000,30425.99000000,22.43889000
2023/07/01,11:01:00,30425.98000000,30425.99000000,30422.80000000,30423.99000000,7.04396000
2023/07/01,11:02:00,30423.99000000,30424.11000000,30423.98000000,30424.10000000,10.42715000
2023/07/01,11:03:00,30424.11000000,30424.11000000,30424.10000000,30424.11000000,4.04033000
2023/07/01,11:04:00,30424.10000000,30427.41000000,30416.57000000,30427.40000000,28.80868000
2023/07/01,11:05:00,30427.40000000,30444.00000000,30427.40000000,30443.99000000,13.07989000
2023/07/01,11:06:00,30444.00000000,30444.00000000,30438.46000000,30438.46000000,11.09897000
2023/07/01,11:07:00,30438.47000000,30438.47000000,30430.28000000,30430.28000000,16.81556000
2023/07/01,11:08:00,30430.29000000,30430.29000000,30427.31000000,30428.04000000,11.02690000
2023/07/01,11:09:00,30428.03000000,30434.00000000,30428.03000000,30430.18000000,11.31871000
2023/07/01,11:10:00,30430.18000000,30430.18000000,30423.80000000,30423.99000000,5.94817000
2023/07/01,11:11:00,30423.99000000,30424.00000000,30414.68000000,30420.76000000,8.11656000
2023/07/01,11:12:00,30420.77000000,30420.77000000,30420.76000000,30420.77000000,3.94830000
2023/07/01,11:13:00,30420.76000000,30420.77000000,30412.39000000,30413.79000000,5.33505000
2023/07/01,11:14:00,30413.80000000,30413.80000000,30413.79000000,30413.80000000,7.18782000
